country,name,suffix
United States of America,New York Stock Exchange,
United States of America,NASDAQ Stock Exchange,
China,Shanghai Stock Exchange,.SS
Neatherlands ,Euronext Amsterdam,.AS
Belgium,Euronext Brussels,.BR
Portugal,Euronext Lisbon,.LS
Italy,Borsa Italiana,.MI
Norway,Oslo Bors,.OL
France,Euronext Paris,.PA
Japan,Japan Exchange Group,.T
China,Shenzhen Stock Exchange,.SZ
Hong Kong,Hong Kong Stock Exchange,.HK
India,Bombay Stock Exchange,.BO
United Kingdom,London Stock Exchange,.L
India,National Stock Exchange,.NS
Canada,Toronto Stock Exchange,.TO
Saudi Arabia,Saudi Stock Exchange (Tadawul),.SAU
Switzerland,SIX Swiss Exchange,.SW
Germany,Deutsche Borse AG,.DE
Denmark,Copenhagen Stock Exchange,.CO
Sweden,Stockholm Stock Exchange,.ST
Finland,Helsinki Stock Exchange,.HE
Estonia,Tallinn Stock Exchange,.TL
Latvia,Riga Stock Exchange,.RG
Lithuania,Vilnius Stock Exchange,.VS
Iceland,Iceland Stock Exchange,.IC
Australia,Australian Securities Exchange,.AX
South Korea,Korea Exchange,.KS
South Africa,Johannesburg Stock Exchange,.JO
Taiwan,Taiwan Stock Exchange,.TW
Brazil,B3 Brasil Bolsa Balcao,.SA
Canada,Canadian Securities Exchange,.CN
Canada,NEO Exchange,.NE
Canada,TSX Venture Exchange ,.V
Chile,Santiago Stock Exchange,.SN
Czech Republic,Prague Stock Exchange Index,.PR
Egypt,Egyptian Exchange Index,.CA
Germany,Berlin Stock Exchange,.BE
Germany,Bremen Stock Exchange,.BM
Germany,Dusseldorf Stock Exchange,.DU
Germany,Frankfurt Stock Exchange,.F
Germany,Hamburg Stock Exchange,.HM
Germany,Hanover Stock Exchange,.HA
Germany,Munich Stock Exchange,.MU
Germany,Stuttgart Stock Exchange,.SG
Greece,Athens Stock Exchange ,.AT
Hungary,Budapest Stock Exchange,.BD
Indonesia,Indonesia Stock Exchange,.JK
Italy,EuroTLX,.TI
Malaysia,Malaysian Stock Exchange,.KL
Mexico,Mexico Stock Exchange ,.MX
New Zealand,New Zealand Stock Exchange ,.NZ
Qatar,Qatar Stock Exchange,.QA
Russia,Moscow Exchange ,.ME
Singapore,Singapore Stock Exchange,.SI
Spain,Madrid SE C.A.T.S.,.MC
Thailand,Stock Exchange of Thailand ,.BK
Turkey,Borsa Istanbul,.IS
Venezuela,Caracas Stock Exchange,.CR
